store_sol,board_size,par_time,seq_time,num_sol
0,3,0.000860824,1.167e-06,0
1,3,0.000587033,1.392e-06,0
0,4,0.000986077,3.852e-06,2
1,4,0.000422226,5.549e-06,2
0,5,0.000752578,1.449e-05,10
1,5,0.000473253,2.2401e-05,10
0,6,0.00138583,0.000150053,4
1,6,0.000551328,6.5077e-05,4
0,7,0.000978101,0.000277797,40
1,7,0.000904315,0.000304917,40
0,8,0.00136342,0.00121271,92
1,8,0.000748157,0.00150017,92
0,9,0.00171595,0.00552315,352
1,9,0.00136427,0.00577376,352
0,10,0.00410249,0.0295512,724
1,10,0.00394418,0.0278486,724
0,11,0.018245,0.15151,2680
1,11,0.0183245,0.152928,2680
0,12,0.113468,0.878421,14200
1,12,0.126141,0.895645,14200
0,13,0.775472,5.52409,73712
1,13,0.825163,5.71868,73712
0,14,5.42827,40.2026,365596
1,14,6.45562,42.5547,365596
